Id,Label
2,NLP
6,Information Retrieval
11,vector space model
16,PageRank
24,IR
26,natural language processing
33,Semantic Web
38,Knowledge Discovery
39,IRS
68,question answering
70,NER
79,Cooperative Search Engine
80,CSE
93,Machine Translation
104,formal concept analysis
115,multimedia information retrieval
120,GA
121,SVM
122,text classification
136,Artificial Intelligence
137,Semantic similarity
148,Web mining
179,data mining
208,CLIR
210,Cross - Language Information Retrieval
214,latent semantic indexing
217,InfoCrystals
222,VSM
239,LSI
241,SOM
244,self - organizing maps
255,Support Vector Machine
276,HMM
277,Hidden Markov Model
282,FCA
312,Word Sense Disambiguation
375,principal component analysis
378,PCA
399,music information retrieval
451,information
488,pattern recognition
522,Topic Maps
523,topic map
531,Query Expansion
534,Relevance Feedback
535,QE
551,Genetic algorithms
567,query
603,Tf - Idf model
604,TermCount model
628,automatic query expansion
663,convolutional neural networks
667,Neural networks
668,PSO
669,particle swarm optimization
684,SVMS
685,Support Vector Machines
689,F - score
708,resource selection
711,Latent Dirichlet Allocation
719,question classification
742,fuzzy ontology framework
746,inclusion relation
767,Geographic Information Retrieval
809,Precision
810,Recall
825,FIRE
834,RF
861,singular value decomposition
862,SVD
955,self - organizing map
1023,Latent Semantic Analysis
1158,PageRank algorithm
1211,document clustering
1293,genetic algorithm
1316,Probability Ranking principle
1321,PRP
1326,MIR
1345,neural network
1409,distributed information retrieval
1465,music genre classification
1482,global user similarity
1484,Local User Similarity
1663,fuzzy semantic retrieval
1665,latent semantic
1675,DL
1677,Description Logics
1686,hidden markov models
1723,LDA
1904,vector space
1905,probabilistic
2053,answer extraction
2256,deep neural networks
2371,MAP
2563,NMF
2640,Bug Localization
3023,probabilistic models
3205,GAs
3229,peer - to - peer systems
3232,genetic programming
3258,LSA
3777,GP
3786,term
3989,Mean Average Precision
4087,dynamic time warping
4093,DTW
4183,ARABic Information Retrieval System
4184,ARABIRS
4185,Arabic web - based information retrieval system
4309,Forum for Information Retrieval Evaluation
4325,language modeling
4361,Statistical Machine Translation
4413,Cross - Language Text Retrieval
4414,EWN
4993,AP
5169,DLs
5881,LM
6635,topic segmentation
7334,quantum information science
7723,DNNs
8582,Non - negative Matrix Factorization
8593,CNN
8594,CNNs
11581,DFR
11966,Divergence From RandomnessId,Label
15426,vector space model
15428,PageRank
15458,Cooperative Search Engine
15459,CSE
15465,WordNet
15470,OWL
15472,formal concept analysis
15481,GA
15483,SVM
15488,pre - filtering
15499,Ranking
15511,contextual information
15515,semantic similarity
15523,RDF
15525,dictionary - based translation
15527,latent semantic indexing
15531,InfoCrystal
15533,VSM
15536,TF - IDF
15538,semantic
15539,ontologies
15544,SOM
15545,LSI
15546,self - organizing maps
15552,Support Vector Machine
15560,HMM
15561,Hidden Markov Model
15562,Decision tree
15564,FCA
15583,WSD
15593,dictionary - based query translation
15607,probabilistic model
15613,fuzzy set theory
15617,principal component analysis
15619,PCA
15657,semantic representation
15661,WordNet ontology
15671,EM
15692,MOTS - CLÉS
15696,Topic Maps
15697,topic map
15698,context
15706,Concept lattice
15715,IDF
15716,Genetic algorithms
15720,ontology
15727,semantic relationship
15730,query
15739,Inverted index
15746,TermCount model
15747,Vector space models
15748,Tf - Idf model
15764,SPARQL
15771,Naive Bayes
15781,convolutional neural networks
15785,Neural networks
15786,PSO
15787,particle swarm optimization
15795,hierarchical
15796,SVMS
15797,Support Vector Machines
15799,F - score
15808,Latent Dirichlet Allocation
15828,k - means
15830,fuzzy ontology framework
15832,inclusion relation
15871,Precision
15872,Recall
15883,FIRE
15887,RF
15888,Relevance feedback
15899,singular value decomposition
15900,SVD
15907,Boolean
15911,thesauri
15916,Collaborative Filtering
15918,CF
15919,semantic information
15923,DBpedia
15941,relational databases
15942,self - organizing map
15948,SMART
15950,relevance
15963,CRF
15969,fuzzy logic
15979,Latent Semantic Analysis
15995,PRF
16052,PageRank algorithm
16095,OOV
16109,fuzzy set
16124,genetic algorithm
16129,Boolean model
16134,Probability Ranking principle
16137,PRP
16152,neural network
16180,similarity
16195,vector
16227,Cloud computing
16233,Cosine similarity
16238,surprisal - based vector similarity
16252,relational
16286,vector model
16287,RDBS
16320,probabilistic approach
16327,SWD
16328,latent semantic
16336,DL
16342,hidden markov models
16353,semantic distance
16361,Algorithm
16362,LDA
16363,latent
16383,MeSH
16418,meta - data
16479,vector space
16480,probabilistic
16492,semantic relation
16539,DBMS
16557,AE
16634,re - ranking
16678,deep neural networks
16686,BM25
16698,K - means algorithm
16701,Bayesian networks
16834,query expansion
16840,NMF
16861,Page Rank algorithm
16894,automated bug localization
16900,Text representations
16901,SGD
16902,Linear SVC
16903,K - Mean
16930,word embeddings
16946,F - measure
16979,Markov network
16980,QE
17061,Snippets
17099,probabilistic models
17114,Euclidean distance
17129,Forum for Information Evaluation
17177,WEKA
17202,GAs
17215,Ohsumed
17216,genetic programming
17252,Ranking SVM
17266,Self - organizing Semantic Map
17267,semantic map
17268,unsupervised learning algorithm
17348,LSA
17371,NDCG
17422,Mean Reciprocal Rank
17473,knowledge discovery meta model
17474,KDM
17487,MFCC
17540,GP
17627,probabilistic framework
17660,Mean Average Precision
17717,dynamic time warping
17723,DTW
17771,MAP
17782,ARABIRS
17783,Arabic web - based information retrieval system
17784,ARABic Information Retrieval System
17815,TF*IDF
17819,recurrent neural network
17825,Forum for Information Retrieval Evaluation
17829,CORI
17859,EuroWordNet
17881,Learning to Rank
17882,LtR
17895,text
17916,AQE
17929,MT
17935,MIREX
17970,CiteSeer
17973,SMT
18008,language modeling
18083,AP
18084,Average Precision
18111,lexical
18138,DLs
18142,pseudo - relevance feedback
18172,Okapi
18200,Statistical language models
18237,Cranfield paradigm
18388,LM
18402,statistical language modeling
18461,topic
18467,quantum
18590,OCR
18772,language
18839,Latent Dirichlet Allocation Model
19154,DNNs
19577,Non - negative Matrix Factorization
19584,CNNs
19585,CNN
19789,text classification algorithms
19790,Stanford Tagger
20104,Peers - peers - coordinator scheme
20518,Topic modeling
21134,DFR
21254,Reader Judgment
21322,content - based analysis
21323,co - occurrence analysis
21364,pseudo relevance feedback
21374,Divergence From Randomness
21645,2-Poisson model
21808,wavelet trees
