-DOCSTART- -X- -X- O

EU NNP B-NP S-ORG
rejects VBZ B-VP O
German JJ B-NP S-MISC
call NN I-NP O
to TO B-VP O
boycott VB I-VP O
British JJ B-NP S-MISC
lamb NN I-NP O
. . O O

Peter NNP B-NP B-PER
Blackburn NNP I-NP E-PER

BRUSSELS NNP B-NP S-LOC
1996-08-22 CD I-NP O

The DT B-NP O
European NNP I-NP B-ORG
Commission NNP I-NP E-ORG
said VBD B-VP O
on IN B-PP O
Thursday NNP B-NP O
it PRP B-NP O
disagreed VBD B-VP O
with IN B-PP O
German JJ B-NP S-MISC
advice NN I-NP O
to TO B-PP O
consumers NNS B-NP O
to TO B-VP O
shun VB I-VP O
British JJ B-NP S-MISC
lamb NN I-NP O
until IN B-SBAR O
scientists NNS B-NP O
determine VBP B-VP O
whether IN B-SBAR O
mad JJ B-NP O
cow NN I-NP O
disease NN I-NP O
can MD B-VP O
be VB I-VP O
transmitted VBN I-VP O
to TO B-PP O
sheep NN B-NP O
. . O O

Germany NNP B-NP S-LOC
's POS B-NP O
representative NN I-NP O
to TO B-PP O
the DT B-NP O
European NNP I-NP B-ORG
Union NNP I-NP E-ORG
's POS B-NP O
veterinary JJ I-NP O
committee NN I-NP O
Werner NNP I-NP B-PER
Zwingmann NNP I-NP E-PER
said VBD B-VP O
on IN B-PP O
Wednesday NNP B-NP O
consumers NNS I-NP O
should MD B-VP O
buy VB I-VP O
sheepmeat NN B-NP O
from IN B-PP O
countries NNS B-NP O
other JJ B-ADJP O
than IN B-PP O
Britain NNP B-NP S-LOC
until IN B-SBAR O
the DT B-NP O
scientific JJ I-NP O
advice NN I-NP O
was VBD B-VP O
clearer JJR B-ADJP O
. . O O

" " O O
We PRP B-NP O
do VBP B-VP O
n't RB I-VP O
support VB I-VP O
any DT B-NP O
such JJ I-NP O
recommendation NN I-NP O
because IN B-SBAR O
we PRP B-NP O
do VBP B-VP O
n't RB I-VP O
see VB I-VP O
any DT B-NP O
grounds NNS I-NP O
for IN B-PP O
it PRP B-NP O
, , O O
" " O O
the DT B-NP O
Commission NNP I-NP S-ORG
's POS B-NP O
chief JJ I-NP O
spokesman NN I-NP O
Nikolaus NNP I-NP B-PER
van NNP I-NP I-PER
der FW I-NP I-PER
Pas NNP I-NP E-PER
told VBD B-VP O
a DT B-NP O
news NN I-NP O
briefing NN I-NP O
. . O O

He PRP B-NP O
said VBD B-VP O
further JJ B-NP O
scientific JJ I-NP O
study NN I-NP O
was VBD B-VP O
required VBN I-VP O
and CC O O
if IN B-SBAR O
it PRP B-NP O
was VBD B-VP O
found VBN I-VP O
that IN B-SBAR O
action NN B-NP O
was VBD B-VP O
needed VBN I-VP O
it PRP B-NP O
should MD B-VP O
be VB I-VP O
taken VBN I-VP O
by IN B-PP O
the DT B-NP O
European NNP I-NP B-ORG
Union NNP I-NP E-ORG
. . O O


